URL,Type,Status,Priority,Resolution,Affects Version/s,Fix Version/s,Component/s,Estimated Complexity,Assignee,Reporter,Created,Updated,Description,Comments
https://issues.apache.org/jira/browse/CAMEL-21802,New Feature,Open,Major,Unresolved,None,None,camel-pinecone,Unknown,Nikita_Konovalov,Zineb Bendhiba,26/Feb/25 10:14,1 week ago 08:07,Similar to https://issues.apache.org/jira/browse/CAMEL-21718,Nikita_Konovalov: Nikita_Konovalov added a comment - 27/Feb/25 10:35 Started working on this
https://issues.apache.org/jira/browse/CAMEL-21760,New Feature,Reopened,Major,Unresolved,None,4.11.0,camel-oauth,Unknown,Thomas Diesler,Thomas Diesler,19/Feb/25 11:04,1 week ago 08:07,,"Thomas Diesler: Thomas Diesler added a comment - 19/Feb/25 12:07 - edited The camel-oauth module comes with a set of Processors that can be added the route on the client and resource owner side Supported OIDC, OAuth functionality is ... OIDC Authentication using Authorization Code Flow (OAuthCodeFlowProcessor, OAuthCodeFlowCallbackProcessor) OAuth Client Credentials Grant (OAuthClientCredentialsProcessor, OAuthBearerTokenProcessor) Identity Provider (Keycloak only) logout (OAuthLogoutProcessor) Keycloak can be deployed to a local k8s cluster with a helm chart that comes with camel-oauth There are two test cases that show the above (KeycloakOAuthWebAppTest, KeycloakOAuthRestTest) The respective jbang projects live here When this has found it's proper place and acceptance, I'd start to work on docs. For Kafka we can use strimzi kafka-oauth-client directly, which can also be documented as part of camel-oauth. | Thomas Diesler: Thomas Diesler added a comment - 27/Feb/25 10:01 Done | Claus Ibsen: Claus Ibsen added a comment - 27/Feb/25 10:13 You need to add a docs in src/main/docs (see for example camel-headersmap/src/main/docs/headersmap.adoc) | Claus Ibsen: Claus Ibsen added a comment - 27/Feb/25 10:14 It may not need to be a lot of docs, but some basic that tell what this component is, and have those metadata, and the name of the file is `oauth.adoc`"
https://issues.apache.org/jira/browse/CAMEL-21812,Improvement,Open,Major,Unresolved,None,None,"camel-jbang,(1)camel-oauth",Unknown,Thomas Diesler,Thomas Diesler,27/Feb/25 15:40,27/Feb/25 16:26,"Communication with Keycloak should not happen over an insecure channel. Specifically, some OAuth/OIDC protocols require TLS before they are willing to send sensitive data across the wire.",
https://issues.apache.org/jira/browse/CAMEL-21751,Bug,Open,Major,Unresolved,None,None,camel-jbang,Unknown,Thomas Diesler,Thomas Diesler,17/Feb/25 12:34,27/Feb/25 12:59,"I have a plugin configuration like this ... <plugin> <groupId> org.eclipse.jkube </groupId> <artifactId> kubernetes-maven-plugin </artifactId> <version> 1.18.1 </version> <configuration> <buildStrategy> docker </buildStrategy> <images> <image> <build> <from> eclipse-temurin:17 </from> <entryPoint> <exec> <arg> __cacert_entrypoint.sh </arg> <arg> java </arg> <arg> -jar </arg> <arg> /maven/${project.artifactId}-${project.version}.jar </arg> </exec> </entryPoint> <assembly> <layers> <layer> <id> trusted-certs </id> <fileSets> <fileSet> <directory> src/main/certs </directory> <outputDirectory> /tmp </outputDirectory> <includes> <include> *crt </include> </includes> </fileSet> </fileSets> </layer> </layers> </assembly> </build> </image> </images> </configuration> <executions> <execution> <goals> <goal> build </goal> <goal> resource </goal> <goal> push </goal> </goals> <phase> package </phase> </execution> </executions> </plugin> and get [INFO] k8s: [examples/platform-http-oauth:1.0.0]: Created docker-build.tar in 86 milliseconds [INFO] k8s: Step 1/4 : FROM eclipse-temurin:17 [INFO] k8s: [INFO] k8s: ---> 1e83e0efd1de [INFO] k8s: Step 2/4 : COPY /trusted-certs/maven /maven/ [INFO] k8s: [ERROR] k8s: Failed to execute the build [Error while trying to build the image: Unable to build image [examples/platform-http-oauth:1.0.0] : ""COPY failed: file not found in build context or excluded by .dockerignore: stat trusted-certs/maven: file does not exist"" ] or [ERROR] k8s: Failed to execute the build [Error while trying to build the image: Cannot create directory '/certificates' .] CrossRef: https://github.com/eclipse-jkube/jkube/issues/3672",Thomas Diesler: Thomas Diesler added a comment - 27/Feb/25 12:57 - edited We can get this to work when we provide our own entrypoint (a slight variation of __cacert_entrypoint.sh) and add the trusted certificate like this ... <assembly> <layers> <layer> <id> cacert-entrypoint </id> <files> <file> <source> etc/cacert_entrypoint.sh </source> <outputDirectory> . </outputDirectory> <fileMode> 755 </fileMode> </file> </files> </layer> <layer> <id> trusted-cert </id> <fileSets> <fileSet> <directory> etc/tls </directory> <outputDirectory> tls </outputDirectory> </fileSet> </fileSets> </layer> </layers> </assembly>
https://issues.apache.org/jira/browse/CAMEL-21811,Improvement,Open,Major,Unresolved,None,None,camel-oauth,Unknown,Thomas Diesler,Thomas Diesler,27/Feb/25 10:25,27/Feb/25 10:47,... this would have the benefit of not using NodePort and reuse the same TLS certificate for various services behind the SSL terminating proxy (e.g. Traefik),
https://issues.apache.org/jira/browse/CAMEL-21696,New Feature,In Progress,Major,Unresolved,None,4.11.0,camel-ai,Unknown,Zineb Bendhiba,Zineb Bendhiba,31/Jan/25 19:44,26/Feb/25 10:16,"When retrieving embeddings with similarity search, they need to be decoded back to String This is for RAG","Zineb Bendhiba: Zineb Bendhiba added a comment - 05/Feb/25 10:11 After investigating, we don't decode with the Langchain4j Embedding Model. What we need to do is to create another data transformer in the vector databases components to retrieve the text, as created with the Embedding Data Transformer. I already done some code for Qdrant and ready to push something for Camel 4.10 . I can't quickly do same with Neo4j. I will move this Jira to 4.11 and will open as many issues as needed for the camel vector database component. This one is to be closed when all tasks are complete"
https://issues.apache.org/jira/browse/CAMEL-21803,New Feature,Open,Major,Unresolved,None,None,None,Unknown,Unassigned,Zineb Bendhiba,26/Feb/25 10:16,26/Feb/25 10:16,Similar to https://issues.apache.org/jira/browse/CAMEL-21718,
https://issues.apache.org/jira/browse/CAMEL-21796,Task,Open,Major,Unresolved,None,4.11.0,None,Unknown,Thomas Cunningham,Thomas Cunningham,26/Feb/25 00:10,26/Feb/25 06:18,"In the pinecone component, collection is marked as mandatory : https://github.com/apache/camel/blob/main/components/camel-ai/camel-pinecone/src/main/java/org/apache/camel/component/pinecone/PineconeVectorDbEndpoint.java#L47-L49 My reading of the pinecone docs is that collection is not a mandatory thing, and that collections really only apply to pod-based indexes, and not to servlerless indexes ( https://docs.pinecone.io/guides/indexes/pods/understanding-collections) https://docs.pinecone.io/reference/api/2024-10/control-plane/create_collection I think we should remove the requirement that collection be mandatory.",
https://issues.apache.org/jira/browse/CAMEL-21797,Improvement,Open,Major,Unresolved,None,4.11.0,camel-pinecone,Unknown,Thomas Cunningham,Thomas Cunningham,26/Feb/25 00:12,26/Feb/25 06:18,"While researching pinecone, I noticed a number of operations we could add to the component : list collection describe collection delete collection rerank list imports describe import",
https://issues.apache.org/jira/browse/CAMEL-21791,Improvement,Open,Major,Unresolved,None,4.11.0,camel-kafka,Unknown,Unassigned,Claus Ibsen,25/Feb/25 11:01,25/Feb/25 11:01,"We should make it possible to use by setting transacted=true, and allow optional transaction.id prefix (need to generate uid). See for example how spring-kafka does it. Also it may be that we need to have support for invoking being/commit/abort transaction methods, and if we can integrate this with spring-transaction / jta via Camel transacted EIP.",
https://issues.apache.org/jira/browse/CAMEL-21787,New Feature,Open,Major,Unresolved,None,4.x,camel-kamelet,Unknown,Unassigned,Claus Ibsen,24/Feb/25 13:33,24/Feb/25 13:33,"The source and sink kamelets are using a camel component under the hood. However the kamelet have only N options, and when you know there is a option from the component you want to use but its not in the kamelet, then its not possible today. We should have some advanced mode, where you can then declare the option still.",
https://issues.apache.org/jira/browse/CAMEL-21765,Task,Open,Major,Unresolved,4.10.0,4.x,None,Unknown,Unassigned,Aurélien Pupier,19/Feb/25 15:34,22/Feb/25 16:05,"Final release is planned for the 18th March https://openjdk.org/projects/jdk/24/ this is the last release before the next Java LTS 25, planned for September 2025). it would be nice to to ensure there is no major issue before the LTS. I guess the most impacting part is potentially the removal of the SecurityManager https://openjdk.org/jeps/486 . In case, not using the removed API, might be time to remove surrounding deprecated API (see removing related APIs in https://openjdk.org/jeps/486#Advice-to-maintainers-of-libraries-that-support-the-Security-Manager ) another interesting thing are the first Quantum-Resistant modules https://openjdk.org/jeps/496 and https://openjdk.org/jeps/497",
https://issues.apache.org/jira/browse/CAMEL-19037,New Feature,Open,Major,Unresolved,None,Future,camel-jbang,Unknown,Unassigned,Claus Ibsen,10/Feb/23 17:04,21/Feb/25 17:17,We should look at if we can build native binaries of camel-jbang CLI so we can release that and have it as downloads - like the Camel K kamel CLI. We can then get it distributed in various package manager. jrelease is a project that can do that.,Claus Ibsen: Claus Ibsen added a comment - 21/Feb/25 17:17 this project is using jreleaser and quarkus to compile to native https://github.com/kcctl/kcctl
https://issues.apache.org/jira/browse/CAMEL-20045,New Feature,Open,Major,Unresolved,None,4.x,camel-opentelemetry,Unknown,Pasquale Congiusti,Claus Ibsen,25/Oct/23 09:11,20/Feb/25 09:52,"A dev console that can give insight into opentelemtry, that can benefit during development and trouble shooting.","Adriano Machado: Adriano Machado added a comment - 25/Oct/23 22:05 You mean integrating a tracing UI like Jaeger on the dev console? | Claus Ibsen: Claus Ibsen added a comment - 26/Oct/23 06:52 - edited No - a basic text based console - Also we need a prometheus exporter that can be used with camel-main / jbang. And an idea could be for the dev console to dump in prometheus format. DONE (camel-micrometer-prometheus) | Claus Ibsen: Claus Ibsen added a comment - 19/Aug/24 14:12 ammachado with your recent PR you mention some testing support that render otel in a textual graph like style. Maybe some of that work can be made into a camel devconsole. camel get XXXX or some new command name that prints this information nicely. At first the deb console can do dump to text via web browser, and later add CLI output in jbang. Then you can run it via --console, and type /q/dev/console-name-here | Adriano Machado: Adriano Machado added a comment - 20/Aug/24 18:12 davsclaus , with that PR, OTEL tests are showing something like this: - Span tree: - └─ span: d501c472b6e48010 (CLIENT) - start (direct://start) 4.295668708s - └─ span: d651aa0e09d1cb10 (INTERNAL) - start (direct://start) 4.295379875s - └─ span: 299848b818c8bd2b (CLIENT) - a (seda://a) 4.295030916s - └─ span: a16aedc7cac2324b (INTERNAL) - a (seda://a) 3.290733542s - ├─ span: e4a49484f330c7f0 (CLIENT) - b (seda://b) 1.180611917s - │ └─ span: 999cac56ad511dad (INTERNAL) - b (seda://b) 1.174607208s - └─ span: 375172c8f34adbe6 (CLIENT) - c (seda://c) 0.101531334s - └─ span: d3ea22ac1cc8dacd (INTERNAL) - c (seda://c) 0.100613333s I can try to get this working on a devconsole | Claus Ibsen: Claus Ibsen added a comment - 20/Aug/24 18:59 Thank you very much, that is exactly what is needed | Claus Ibsen: Claus Ibsen added a comment - 10/Oct/24 15:58 Adriano, I guess you did not find time. If you have any pointers / links to that code that can help generate that span tree above, then we can add in this Jira so its easier to get started later | Adriano Machado: Adriano Machado added a comment - 11/Oct/24 03:33 - edited davsclaus , I've been very busy lately, unfortunately. The code to print that span tree, in fact is already on Camel: https://github.com/apache/camel/blob/main/components/camel-opentelemetry/src/test/java/org/apache/camel/opentelemetry/SpanTreePrinter.java. | Claus Ibsen: Claus Ibsen added a comment - 17/Feb/25 12:37 squakez would be great to add a camel dev-console to your new component that can dump trace details which we can make avaiable for camel-jbang as a new command, and also in /q/dev when you run camel (also possible to see in CSB and CEQ) | Pasquale Congiusti: Pasquale Congiusti added a comment - 17/Feb/25 13:03 Sure. I'll have a look at this to understand if/how we could implement something like that. | Pasquale Congiusti: Pasquale Congiusti added a comment - 20/Feb/25 09:26 I had a look at this. So, here the outcome of a first analysis. Related to Opentelemetry The availability of traces would be available on the same JVM running the process (ie, the Camel application) via an ""in memory"" exporter . This is clearly an implementation though exclusively for unit test as it requires the ""inspector"" to be on the same process running the application. Also, for performance and consistency reason we cannot think to have traces collected inmemory. Related to TelemetryDev The new telemetry component is a kind of toy used to validate the telemetry abstraction more than anything else. It could only be used for simple tracing or for debugging purposes, but definitely not on more complex applications. The technology rely on logging traces with the same logging mechanism available in the application. If it makes sense, a separate appender can be created for the purpose so the user can later ingest the feed to some third party observability tool. If we want to collect the traces here, we'd need to parse the specific logging configuration (which can vary based on the logging technology) in order to figure it out where the file database is. We should also play with log rotation and any other implementation detail. In general I think it's not a good idea to have any telemetry collection directly in the application as it creates a high coupling with the telemetry technology used. IMO the telemetry collection should be a separate specialized process with its specific logic and tooling (possibly asynchronously) as it already happens with the agents which are taking care to push traces to a collector which is later used to analyze and render the traces for observability purposes. | Claus Ibsen: Claus Ibsen added a comment - 20/Feb/25 09:52 The dev console is only for development and to quickly be able to see what happens when you code/design a prototype. So having it in-memory in the same process for a single camel app is fine. Its for a single Camel app only, and something to make it quick/easy for a developer to type /q/trace or whatever in a web browser to see traces (in just some text format) and similar in a camel jbang command. So with the new telemetry-dev component it fits there. No its not intended for 3rd party tool integration or whatever, but for a easy all-in-a-box tool for building low-code prototypes Users that want to push to a seperate collector and all of that can surely do that, but this ticket is about to do all from camel during prototyping"
https://issues.apache.org/jira/browse/CAMEL-21736,Improvement,Open,Major,Unresolved,None,4.x,camel-google-bigquery,Unknown,Unassigned,Luis Sergio Faria Carneiro,11/Feb/25 18:05,19/Feb/25 11:10,"As I developer I would like to use the Google BigQuery SQL Standard component to fetch data from Google Big Query. Currently, when I run an Integration with the following snippet: - to: uri: google-bigquery-sql: //my_project_id:select * from poc_bigquery.employees where true parameters: serviceAccountKey: key.json I get the number of rows selected in the message body after the component runs, but not the data. The docs mention that we currently support only DML queries, so I'm opening this as a feature request;","Claus Ibsen: Claus Ibsen added a comment - 18/Feb/25 08:18 Thanks are you able to work on this, we love contributions. | Luis Sergio Faria Carneiro: Luis Sergio Faria Carneiro added a comment - 19/Feb/25 11:10 davsclaus yes, I'll try and implement this. I don't know yet how much effort it would require, as it's my first attempt implementing something on the Camel Core, but let's see how it works."
https://issues.apache.org/jira/browse/CAMEL-21749,New Feature,Open,Major,Unresolved,4.10.0,None,camel-nats,Unknown,Unassigned,Mikael Koskinen,17/Feb/25 09:57,18/Feb/25 10:57,"Currently NATS Producer and Consumer both only use some of the headers included in the NATS msg: exchange.getIn().setHeader(NatsConstants.NATS_REPLY_TO, msg.getReplyTo()); exchange.getIn().setHeader(NatsConstants.NATS_SID, msg.getSID()); exchange.getIn().setHeader(NatsConstants.NATS_SUBJECT, msg.getSubject()); exchange.getIn().setHeader(NatsConstants.NATS_QUEUE_NAME, msg.getSubscription().getQueueName()); exchange.getIn().setHeader(NatsConstants.NATS_MESSAGE_TIMESTAMP, System .currentTimeMillis()); This is problematic in couple of ways: NATS nowadays has quite many headers which are missing from the list. And also as NATS itself doesn't limit what headers are used, the headers often contain app specific metadata which would be helpful to have in Camel Integrations. Does the NATS component have to limit the headers that it reads? Could it read them all? Or could we use something like headerFilterStrategy in this? I'm happy to help with implementing the code but would appreciate if someone can provide guidance on design.","Andrea Cosentino: Andrea Cosentino added a comment - 17/Feb/25 10:03 We could map more of them if it makes sense. What are the headers present as default? | Claus Ibsen: Claus Ibsen added a comment - 17/Feb/25 10:06 Yes header filter strategy would be better, and then if you have suggestions for more default headers to include then in the top list. Also if you are aware of any object type that NATS does not allow then the filter should skip those, like its done in JMS etc. | Mikael Koskinen: Mikael Koskinen added a comment - 18/Feb/25 10:57 Some of the often used headers are: Nats-Service-Error Nats-Service-Error-Code NATS has this Services framework nowadays build-in and the services use headers to communicate the response statuses (exceptions etc): https://github.com/nats-io/nats-architecture-and-design/blob/main/adr/ADR-32.md#error-handling . Also tracing uses headers: https://github.com/nats-io/nats-architecture-and-design/blob/main/adr/ADR-41.md#ad-hoc-activation And the other aspect is the custom application specific headers. Regarding NATS component overall, currently it is missing the JetStream support. JetStream contains most of the NATS' functionality, including streams, pull/push consumers, KV and object storage so they are not available. At some point it would be great to have JS-support included too, but I wonder if it is better to do this in a separate JetStream-component."
https://issues.apache.org/jira/browse/CAMEL-21744,Task,Open,Major,Unresolved,None,None,None,Unknown,Unassigned,Federico Mariani,14/Feb/25 13:06,14/Feb/25 13:06,"https://swagger.io/specification/#fixed-fields From the spec, the security field is a declaration of which security mechanisms can be used across the API. The list of values includes alternative Security Requirement Objects that can be used. Only one of the Security Requirement Objects need to be satisfied to authorize a request. Individual operations can override this definition. The list can be incomplete, up to being empty or absent. To make security explicitly optional, an empty security requirement ({}) can be included in the array. This integration may be harder to implement, and most probably runtimes should provide custom implementations.",
https://issues.apache.org/jira/browse/CAMEL-21743,Task,Open,Major,Unresolved,None,None,None,Unknown,Unassigned,Federico Mariani,14/Feb/25 13:04,14/Feb/25 13:04,"https://swagger.io/specification/#fixed-fields From the spec, the webhooks field represents the incoming webhooks that MAY be received as part of this API and that the API consumer MAY choose to implement. Closely related to the callbacks feature, this section describes requests initiated other than by an API call, for example by an out of band registration. The key name is a unique string to refer to each webhook, while the (optionally referenced) Path Item Object describes a request that may be initiated by the API provider and the expected responses. An example is available.",
https://issues.apache.org/jira/browse/CAMEL-21742,Task,Open,Major,Unresolved,None,None,None,Unknown,Unassigned,Federico Mariani,14/Feb/25 13:03,14/Feb/25 13:03,https://swagger.io/specification/#fixed-fields jsonSchemaDialect is a String representing the default value for the $schema keyword within Schema Objects contained within this OAS document. This MUST be in the form of a URI.,
https://issues.apache.org/jira/browse/CAMEL-21278,Improvement,In Progress,Major,Unresolved,4.x,4.11.0,camel-jbang,Unknown,Gaelle Fournier,Gaelle Fournier,26/Sep/24 13:11,13/Feb/25 10:24,This is a follow-up from https://issues.apache.org/jira/browse/CAMEL-21152 . Clean-up identified: remove unused parameters and setters/getters add some model builder refactor the tests to improve the performance move some trait specific code from KubernetesExport to the XxxTrait class,Claus Ibsen: Claus Ibsen added a comment - 01/Feb/25 08:20 Is there more work to do here | Gaelle Fournier: Gaelle Fournier added a comment - 13/Feb/25 10:24 The test refactoring part is still needed.
https://issues.apache.org/jira/browse/CAMEL-21636,Task,Open,Major,Unresolved,None,4.x,upgrade-recipes,Unknown,Jiri Ondrusek,Jiri Ondrusek,20/Jan/25 09:22,06/Feb/25 10:51,Cover migrations described by migration guide,
https://issues.apache.org/jira/browse/CAMEL-21722,Improvement,Open,Major,Unresolved,None,4.11.0,camel-core,Unknown,Unassigned,Claus Ibsen,05/Feb/25 12:42,05/Feb/25 12:42,"We should make it possible to enable capturing attachments details in the tracer. This can assist trouble shooting and tooling to show details. Attachments can contain headers, and data (name, content-type) such as emails with attached files, or HTTP post with form-data etc. The trace/debug command in jbang could also be improved to show attachment data.",
